Sex	agecl	rstart_dat	rend_dat	animal_id	mortcaus
F	A	05-Mar-09	25-Oct-10	CN285Ca	FADE
F	A	05-Mar-09	28-Oct-10	CN286Ca	FADE
F	A	05-Mar-09	03-Mar-10	CN287Ca	FADE
F	A	05-Mar-09	04-Mar-10	CN288Ca	FADE
F	A	05-Mar-09	28-Oct-10	CN289Ca	FADE
F	A	05-Mar-09	28-Oct-10	CN290Ca	FADE
F	A	06-Mar-09	28-Oct-10	CN291Ca	FADE
F	A	06-Mar-09	22-Apr-09	CN292Ca	PRED
F	A	12-Mar-12	24-Oct-12	CN293Ta	FADE
F	A	12-Mar-12	12-Mar-12	CN294Ta	FADE
F	A	22-Mar-12	22-Oct-12	CN295Ta	FADE
F	A	22-Mar-12	22-Oct-12	CN296Ta	FADE
F	A	22-Mar-12	24-Oct-12	CN297Ta	FADE
F	A	22-Mar-12	22-Oct-12	CN298Ta	FADE
F	A	16-Mar-13	16-Mar-13	CN299Ta	FADE
F	A	16-Mar-13	16-Mar-13	CN300Ta	FADE
